"dog_id","cslb_active_6mo","cslb_avoid","cslb_date","cslb_defecate_6mo","cslb_find_food","cslb_food_6mo","cslb_other_changes","cslb_pace","cslb_pace_6mo","cslb_recognize","cslb_recognize_6mo","cslb_score","cslb_stare","cslb_stare_6mo","cslb_stuck","cslb_walk_walls"
68063,2,1,"2020-11-07",3,1,3,NA,1,3,1,3,33,1,3,1,1
54147,3,5,"2020-11-09",3,1,3,"During the past several weeks he has displayed a reluctance to go up or down any stairs. I assist him with patience and compassion in managing the stairs in order to work through this new issue. ",1,3,1,3,38,1,3,1,1
43693,3,1,"2020-11-14",3,1,3,NA,1,3,1,3,34,1,3,1,1
31102,3,1,"2020-11-05",3,1,3,NA,1,3,3,3,37,2,3,1,1
87218,3,1,"2020-11-05",3,1,3,"no",2,3,1,3,36,2,3,1,1
38914,3,1,"2020-11-05",3,1,3,NA,1,3,1,3,34,1,3,1,1
73203,3,1,"2020-11-14",3,1,3,"No",1,3,1,3,36,3,3,1,1
58831,4,1,"2020-11-10",3,1,3,"""We lost our chocolate lab in mid-April, which has affected how much time Abby is active. She also appears """"sad"""" by her sprawling on floor and looking up dejected. Might be anthropomorphic but still it best describes what I see. """,1,3,1,3,35,1,3,1,1
80304,1,1,"2020-12-04",1,1,3,"When Sherlock is being walked on leash and we come upon either a stranger or a familiar person, I am able to retain his attention upon me or have him settle quietly while the person and I talk. If, however, he is off-leash in our yard for a potty break and someone is walking on the street, whether known or unknown, he races towards them barking, and it is sometimes difficult getting him to break off and return home, especially if the person continues to walk away.  There is nothing wrong with his eyesight, as he is able quite easily to spot people walking dogs, jogging, deer in the yard, the black cat on the driveway, or squirrels in the tree.",1,3,2,3,32,2,3,1,1
51443,3,1,"2020-12-01",3,1,3,"He was a rescue and had trust issues. He is trusting other people more, but is still aggressive with other dogs which we are working on.",1,3,1,3,34,1,3,1,1
29702,5,5,"2020-11-06",3,2,4,"Mandy has developed a needy type of attitude in the last 6 months.  If I am at my computer, she will take her nose and put it under my knee telling me to get up.  She will either lead me to the kitchen - look at her bowl then the fridge OR take me to the door to go out.  She is also getting up in the wee hours and will put her nose close to your head (while sleeping) and either snort or cry until you get up.  She also has become super attached and does not like me leaving her alone.  She gets depressed and mopey if I leave for too long.  I try to have someone at home with her at all times.",5,4,1,3,53,3,4,2,2
