"dog_id","hs_condition","hs_condition_cause_other_description","hs_condition_is_congenital","hs_condition_other_description","hs_condition_type","hs_diagnosis_month","hs_diagnosis_year","hs_eye_condition_cause","hs_follow_up_ongoing","hs_neurological_condition_vestibular_disease_type","hs_required_surgery_or_hospitalization"
68063,423,NA,"False",NA,4,3,2016,NA,"True",NA,4
68063,426,NA,"False",NA,4,3,2016,NA,"True",NA,4
68063,712,NA,"False",NA,7,3,2016,NA,"False",NA,4
68063,714,NA,"False",NA,7,8,2016,NA,"True",NA,4
68063,1617,NA,"False",NA,16,2,2017,NA,"True",NA,4
68063,1817,NA,"False",NA,18,8,2019,NA,"True",NA,4
54147,1215,NA,"False",NA,12,3,2020,NA,"True",NA,4
54147,1803,NA,"False",NA,18,6,2018,NA,"False",NA,4
43693,305,NA,"False",NA,3,3,2018,NA,"False",NA,4
43693,307,NA,"False",NA,3,1,2020,NA,"True",NA,4
43693,1798,NA,"False","Fungus--toadstools suspected",17,5,2011,NA,"False",NA,4
43693,1810,NA,"False",NA,18,7,2020,NA,"False",NA,4
31102,198,NA,"False","clogged tear duct",1,8,2016,NA,"False",NA,4
31102,203,NA,"False",NA,2,8,2016,NA,"False",NA,4
31102,305,NA,"False",NA,3,9,2016,NA,"False",NA,1
31102,410,NA,"False",NA,4,7,2018,NA,"False",NA,4
31102,1615,NA,"False",NA,16,6,2018,NA,"False",NA,2
31102,1801,NA,"False",NA,18,6,2016,NA,"False",NA,4
87218,102,NA,"False",NA,1,1,2016,NA,"False",NA,4
87218,406,NA,"False",NA,4,2,2014,NA,"False",NA,4
87218,428,NA,"False",NA,4,3,2016,NA,"False",NA,1
87218,1111,NA,"False",NA,11,5,2007,NA,"True",NA,3
38914,708,NA,"False",NA,7,2,2020,NA,"False",NA,4
38914,1106,NA,"False",NA,11,5,2020,NA,"False",NA,4
38914,1117,NA,"False",NA,11,12,2018,NA,"False",NA,3
73203,107,NA,"False",NA,1,8,2011,NA,"False",NA,1
85092,202,NA,"False",NA,2,12,2020,NA,"True",NA,4
85092,398,NA,"False","pappilomas",3,2,2018,NA,"False",NA,4
85092,404,NA,"False",NA,4,9,2018,NA,"False",NA,4
85092,405,NA,"False",NA,4,9,2018,NA,"False",NA,4
85092,412,NA,"False",NA,4,7,2017,NA,"False",NA,4
85092,426,NA,"False",NA,4,8,2016,NA,"True",NA,4
85092,1801,NA,"False",NA,18,6,2016,NA,"False",NA,4
55219,198,NA,"False","Scratched eye",1,3,2018,NA,"False",NA,4
55219,412,NA,"False",NA,4,4,2010,NA,"False",NA,4
55219,498,NA,"False","Staph infection from food allergy",4,4,2010,NA,"False",NA,4
55219,705,NA,"False",NA,7,10,2019,NA,"False",NA,1
58831,202,NA,"False",NA,2,11,2018,NA,"True",NA,4
32357,206,NA,"False",NA,2,8,2016,NA,"False",NA,4
32357,307,NA,"False",NA,3,7,2020,NA,"False",NA,1
32357,406,NA,"False",NA,4,7,2018,NA,"True",NA,4
32357,423,NA,"False",NA,4,8,2018,NA,"True",NA,4
32357,602,NA,"False",NA,6,8,2019,NA,"True",NA,4
32357,1312,NA,"False",NA,13,9,2018,NA,"True",NA,4
32357,1627,NA,"False",NA,16,4,2018,NA,"False",NA,4
1853,305,NA,"False",NA,3,8,2018,NA,"False",NA,1
1853,306,NA,"False",NA,3,8,2018,NA,"True",NA,4
1853,1634,NA,"False",NA,16,6,2009,NA,"False",NA,4
51443,1637,NA,"False",NA,16,4,2018,NA,"False",NA,4
